iter	RMSE
0	0.4870111499
1	0.4860436481
2	0.4847583358
3	0.4836121896
4	0.4823029707
5	0.4807803519
6	0.4798570032
7	0.4788769685
8	0.4778340316
9	0.4766288134
10	0.4755959253
11	0.4747474818
12	0.4739027964
13	0.4729147922
14	0.4723963756
15	0.4719676107
16	0.4709731417
17	0.4702462163
18	0.4694773693
19	0.468454203
20	0.4676213821
21	0.4666343053
22	0.4655685139
23	0.4649157504
24	0.4639501235
25	0.4630556009
26	0.4622347285
27	0.4615885
28	0.4608999742
29	0.460281507
30	0.4593360006
31	0.458874183
32	0.4577957955
33	0.4570221744
34	0.4565937469
35	0.4560400065
36	0.4555871045
37	0.4550625772
38	0.4543443707
39	0.4539288864
40	0.4531838594
41	0.4528223118
42	0.4522937681
43	0.4517634541
44	0.4511476696
45	0.45046263
46	0.4498722581
47	0.4494611395
48	0.4488302666
49	0.4483397322
50	0.4476638655
51	0.4472161071
52	0.4464048823
53	0.4458492611
54	0.445323931
55	0.4448865411
56	0.4445428488
57	0.4439895586
58	0.4435903831
59	0.4430551341
60	0.4427666662
61	0.4423376768
62	0.4419600774
63	0.4413481712
64	0.4410356676
65	0.4407847827
66	0.440290064
67	0.4397815814
68	0.4393995814
69	0.4391368321
70	0.4388600108
71	0.4386410442
72	0.4383579735
73	0.4379527834
74	0.4373084305
75	0.4368523946
76	0.4365274685
77	0.4360071631
78	0.4354509476
79	0.4349587209
80	0.4345013557
81	0.4342610763
82	0.4338191606
83	0.4334565078
84	0.43294749
85	0.4327243097
86	0.4320962335
87	0.4317875621
88	0.4313773624
89	0.4309828398
90	0.4307015844
91	0.4302235925
92	0.4298746148
93	0.4293749856
94	0.4288660001
95	0.4285131431
96	0.4280084139
97	0.4274745283
98	0.4270785145
99	0.4269119137
100	0.4265065534
101	0.4261469508
102	0.4259365239
103	0.4256499693
104	0.4253332334
105	0.4247301937
106	0.424445687
107	0.4242135385
108	0.4238295573
109	0.4236074098
110	0.4233016967
111	0.4230965659
112	0.4228978801
113	0.4225919397
114	0.4220622411
115	0.4217926626
116	0.4215324228
117	0.4210658276
118	0.4206289144
119	0.4202740744
120	0.4199642819
121	0.4196643746
122	0.4194678813
123	0.4190956476
124	0.4189043677
125	0.4186880671
126	0.4185133134
127	0.4181592147
128	0.4178714704
129	0.4175122403
130	0.4171984679
131	0.4168567854
132	0.4165336686
133	0.4162560637
134	0.41586212
135	0.4156368171
136	0.415606664
137	0.4152839178
138	0.4150418398
139	0.4147097496
140	0.4142370413
141	0.4139444054
142	0.4136418015
143	0.4133478028
144	0.4129921907
145	0.4127772438
146	0.4126980026
147	0.4124324914
148	0.4121093477
149	0.4117181397
150	0.4113875807
151	0.4111837901
152	0.4108787723
153	0.4105792952
154	0.4103010305
155	0.4101240472
156	0.4098577441
157	0.4096750174
158	0.4092674551
159	0.4089282232
160	0.4087819975
161	0.4086574158
162	0.40850665
163	0.4083192212
164	0.4079332669
165	0.4075966829
166	0.4071207437
167	0.4068541299
168	0.40664037
169	0.4062945741
170	0.4061246853
171	0.4059065018
172	0.4055813988
173	0.405391943
174	0.4051598001
175	0.4048841708
176	0.4043761144
177	0.4041393463
178	0.4038370673
179	0.4036161561
180	0.4032707416
181	0.4029046822
182	0.4026482658
183	0.4021948016
184	0.4020013651
185	0.4017857187
186	0.4014515302
187	0.4011139277
188	0.4008929448
189	0.400416937
190	0.4002287338
191	0.3999868997
192	0.3997903031
193	0.3995273761
194	0.3991922659
195	0.3989817236
196	0.3987642881
197	0.398478983
198	0.3981832456
199	0.3978417618
200	0.3976345287
201	0.3973898643
202	0.3970303701
203	0.3966232559
204	0.3963397529
205	0.3960633843
206	0.395793608
207	0.3955786707
208	0.3952479778
209	0.3948517859
210	0.3946102942
211	0.3942384394
212	0.3937815093
213	0.3935107663
214	0.3931434798
215	0.3928214348
216	0.3926398254
217	0.3923628624
218	0.3921100314
219	0.3919254564
220	0.3915907853
221	0.3913571543
222	0.3911285085
223	0.3907831582
224	0.3905656306
225	0.3902841472
226	0.3899903369
227	0.389810148
228	0.3894798426
229	0.389254353
230	0.3888883228
231	0.3886034532
232	0.3882720707
233	0.3880340304
234	0.3878158126
235	0.3875293527
236	0.3873458885
237	0.3871599942
238	0.3869674125
239	0.3867623883
240	0.3865630368
241	0.3863434582
242	0.3861111496
243	0.3859050434
244	0.3856545715
245	0.3855229464
246	0.3854087102
247	0.3852605744
248	0.3851217755
249	0.3848730349
250	0.3846236745
251	0.3843084091
252	0.3838891097
253	0.3836574305
254	0.3831248336
255	0.3829715104
256	0.3826856464
257	0.3824600469
258	0.3823631825
259	0.382078339
260	0.3818600899
261	0.3816723849
262	0.3815252785
263	0.3812374983
264	0.3810811288
265	0.3808111244
266	0.3805253801
267	0.3801676318
268	0.3799257478
269	0.3796862231
270	0.3793982971
271	0.3792580674
272	0.3790112372
273	0.3786889184
274	0.3784636587
275	0.378175128
276	0.3777950908
277	0.3773645367
278	0.3772238223
279	0.3769701286
280	0.3765654987
281	0.3762436646
282	0.3760143152
283	0.3756812671
284	0.3754073108
285	0.3752152855
286	0.3750013883
287	0.3748244229
288	0.3746924627
289	0.3744085672
290	0.3740076207
291	0.3738673285
292	0.3736896287
293	0.3735151697
294	0.3732521751
295	0.37301255
296	0.3727929975
297	0.3725715015
298	0.3723652771
299	0.3721297678
300	0.3718619638
301	0.3715732323
302	0.3713169002
303	0.3711497091
304	0.3709324501
305	0.3706479565
306	0.3702980518
307	0.3700525281
