iter	Passed	Remaining
0	13	13466
1	15	7799
2	17	5887
3	19	4862
4	21	4276
5	23	3871
6	25	3598
7	26	3335
8	28	3128
9	30	3023
10	32	2921
11	34	2822
12	36	2775
13	38	2697
14	39	2610
15	41	2549
16	43	2496
17	44	2447
18	46	2398
19	47	2348
20	49	2307
21	50	2266
22	53	2254
23	54	2224
24	56	2193
25	57	2166
26	59	2143
27	61	2130
28	63	2109
29	64	2089
30	66	2069
31	68	2079
32	70	2072
33	72	2065
34	74	2047
35	75	2032
36	77	2013
37	78	1999
38	80	1983
39	82	1973
40	84	1980
41	86	1980
42	88	1967
43	90	1956
44	91	1949
45	94	1951
46	95	1941
47	97	1930
48	99	1925
49	101	1923
50	102	1914
51	104	1907
52	106	1896
53	107	1889
54	109	1889
55	111	1883
56	113	1878
57	115	1874
58	117	1867
59	119	1867
60	120	1859
61	122	1857
62	124	1849
63	126	1845
64	128	1843
65	130	1841
66	131	1837
67	133	1832
68	135	1826
69	137	1821
70	138	1814
71	140	1806
72	141	1799
73	143	1792
74	145	1798
75	147	1797
76	149	1796
77	151	1790
78	152	1783
79	154	1781
80	156	1774
81	158	1773
82	160	1772
83	162	1774
84	165	1779
85	167	1776
86	169	1773
87	171	1773
88	172	1770
89	174	1767
90	176	1766
91	179	1767
92	181	1767
93	184	1776
94	186	1772
95	187	1767
96	189	1764
97	191	1760
98	193	1763
99	195	1759
100	197	1754
101	198	1749
102	200	1750
103	203	1753
104	205	1750
105	208	1754
106	210	1755
107	212	1754
108	214	1750
109	215	1746
110	217	1745
111	219	1740
112	222	1743
113	228	1774
114	230	1775
115	233	1777
116	236	1781
117	238	1785
118	242	1791
119	244	1795
120	246	1794
121	248	1791
122	250	1787
123	252	1782
124	254	1784
125	257	1784
126	259	1781
127	260	1776
128	262	1772
129	264	1771
130	266	1767
131	268	1763
132	270	1764
133	272	1762
134	274	1757
135	275	1752
136	277	1745
137	279	1747
138	281	1744
139	283	1740
140	285	1741
141	287	1738
142	289	1734
143	291	1732
144	293	1728
145	294	1724
146	296	1721
147	298	1718
148	301	1721
149	303	1719
150	305	1716
151	306	1712
152	308	1708
153	310	1705
154	312	1702
155	313	1697
156	316	1699
157	318	1695
158	319	1690
159	321	1685
160	322	1680
161	324	1676
162	325	1671
163	327	1668
164	328	1663
165	330	1659
166	332	1658
167	334	1658
168	336	1656
169	339	1655
170	340	1652
171	342	1649
172	344	1646
173	346	1642
174	348	1642
175	350	1640
176	352	1637
177	353	1633
178	355	1629
179	357	1626
180	358	1623
181	360	1620
182	361	1615
183	364	1616
